sources,is_weed,verbatim_name,wcvp_taxon_name,wcvp_author,wcvp_rank,wcvp_taxon_status,wcvp_taxonid,wcvp_accepted_name,wcvp_accepted_author,wcvp_accepted_taxonid,wcvp_family,wcvp_match_type,wcvp_match_score,gbif_usage_key,gbif_scientific_name,gbif_canonical_name,gbif_authorship,gbif_rank,gbif_status,gbif_match_type,gbif_confidence,gbif_accepted_key,gbif_accepted_name,gbif_accepted_authorship,gbif_kingdom,gbif_phylum,gbif_class,gbif_order,gbif_family,gbif_genus,gbif_species,gbif_species_key
tsakalos_2018_applvegsci,False,Laxmannia sessiliflora,Laxmannia sessiliflora,Decne.,Species,Accepted,280851,Laxmannia sessiliflora,Decne.,280851,Asparagaceae,exact,100,2770362,Laxmannia sessiliflora Decne.,Laxmannia sessiliflora,Decne.,SPECIES,ACCEPTED,EXACT,100,2770362,Laxmannia sessiliflora Decne.,Decne.,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Laxmannia,Laxmannia sessiliflora,2770362
tsakalos_2018_applvegsci,False,Lomandra collina agg.,Lomandra collina,(R.Br.) Ewart,Species,Accepted,280258,Lomandra collina,(R.Br.) Ewart,280258,Asparagaceae,exact,100,2770957,Lomandra collina (R.Br.) Ewart,Lomandra collina,(R.Br.) Ewart,SPECIES,ACCEPTED,EXACT,100,2770957,Lomandra collina (R.Br.) Ewart,(R.Br.) Ewart,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Lomandra,Lomandra collina,2770957
tsakalos_2018_applvegsci,False,Lomandra hastilis,Lomandra hastilis,(R.Br.) Ewart,Species,Accepted,280279,Lomandra hastilis,(R.Br.) Ewart,280279,Asparagaceae,exact,100,2770940,Lomandra hastilis (R.Br.) Ewart,Lomandra hastilis,(R.Br.) Ewart,SPECIES,ACCEPTED,EXACT,100,2770940,Lomandra hastilis (R.Br.) Ewart,(R.Br.) Ewart,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Lomandra,Lomandra hastilis,2770940
tsakalos_2018_applvegsci,False,Lomandra hermaphrodita,Lomandra hermaphrodita,(C.R.P.Andrews) C.A.Gardner,Species,Accepted,280278,Lomandra hermaphrodita,(C.R.P.Andrews) C.A.Gardner,280278,Asparagaceae,exact,100,2770891,Lomandra hermaphrodita (C.R.P.Andrews) C.A.Gardner,Lomandra hermaphrodita,(C.R.P.Andrews) C.A.Gardner,SPECIES,ACCEPTED,EXACT,100,2770891,Lomandra hermaphrodita (C.R.P.Andrews) C.A.Gardner,(C.R.P.Andrews) C.A.Gardner,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Lomandra,Lomandra hermaphrodita,2770891
tsakalos_2018_applvegsci,False,Lomandra preissii agg.,Lomandra preissii,(Endl.) Ewart,Species,Accepted,280088,Lomandra preissii,(Endl.) Ewart,280088,Asparagaceae,exact,100,2771004,Lomandra preissii (Endl.) Ewart,Lomandra preissii,(Endl.) Ewart,SPECIES,ACCEPTED,EXACT,100,2771004,Lomandra preissii (Endl.) Ewart,(Endl.) Ewart,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Lomandra,Lomandra preissii,2771004
tsakalos_2018_applvegsci,False,Lomandra suaveolens,Lomandra suaveolens,(Endl.) Ewart,Species,Accepted,280114,Lomandra suaveolens,(Endl.) Ewart,280114,Asparagaceae,exact,100,2770887,Lomandra suaveolens (Endl.) Ewart,Lomandra suaveolens,(Endl.) Ewart,SPECIES,ACCEPTED,EXACT,100,2770887,Lomandra suaveolens (Endl.) Ewart,(Endl.) Ewart,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Lomandra,Lomandra suaveolens,2770887
tsakalos_2018_applvegsci,False,Thysanotus arenarius,Thysanotus arenarius,Brittan,Species,Accepted,290325,Thysanotus arenarius,Brittan,290325,Asparagaceae,exact,100,5304125,Thysanotus arenarius Brittan,Thysanotus arenarius,Brittan,SPECIES,ACCEPTED,EXACT,100,5304125,Thysanotus arenarius Brittan,Brittan,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Thysanotus,Thysanotus arenarius,5304125
tsakalos_2018_applvegsci,False,Thysanotus dichotomus,Thysanotus dichotomus,(Labill.) R.Br.,Species,Accepted,290376,Thysanotus dichotomus,(Labill.) R.Br.,290376,Asparagaceae,exact,100,5304087,Thysanotus dichotomus (Labill.) R.Br.,Thysanotus dichotomus,(Labill.) R.Br.,SPECIES,ACCEPTED,EXACT,100,5304087,Thysanotus dichotomus (Labill.) R.Br.,(Labill.) R.Br.,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Thysanotus,Thysanotus dichotomus,5304087
inaturalist_eneabba,False,Thysanotus manglesianus,Thysanotus manglesianus,Kunth,Species,Accepted,290361,Thysanotus manglesianus,Kunth,290361,Asparagaceae,exact,100,5304060,Thysanotus manglesianus Kunth,Thysanotus manglesianus,Kunth,SPECIES,ACCEPTED,EXACT,100,5304060,Thysanotus manglesianus Kunth,Kunth,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Thysanotus,Thysanotus manglesianus,5304060
tsakalos_2018_applvegsci,False,Thysanotus patersonii agg.,Thysanotus patersonii,R.Br.,Species,Accepted,290369,Thysanotus patersonii,R.Br.,290369,Asparagaceae,exact,100,5304110,Thysanotus patersonii R.Br.,Thysanotus patersonii,R.Br.,SPECIES,ACCEPTED,EXACT,100,5304110,Thysanotus patersonii R.Br.,R.Br.,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Thysanotus,Thysanotus patersonii,5304110
tsakalos_2018_applvegsci,False,Thysanotus sparteus,Thysanotus sparteus,R.Br.,Species,Accepted,290272,Thysanotus sparteus,R.Br.,290272,Asparagaceae,exact,100,5304078,Thysanotus sparteus R.Br.,Thysanotus sparteus,R.Br.,SPECIES,ACCEPTED,EXACT,100,5304078,Thysanotus sparteus R.Br.,R.Br.,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Thysanotus,Thysanotus sparteus,5304078
tsakalos_2018_applvegsci,False,Thysanotus spiniger,Thysanotus spiniger,Brittan,Species,Accepted,290274,Thysanotus spiniger,Brittan,290274,Asparagaceae,exact,100,5304134,Thysanotus spiniger Brittan,Thysanotus spiniger,Brittan,SPECIES,ACCEPTED,EXACT,100,5304134,Thysanotus spiniger Brittan,Brittan,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Thysanotus,Thysanotus spiniger,5304134
tsakalos_2018_applvegsci,False,Thysanotus tenellus,Thysanotus tenellus,Endl.,Species,Accepted,290275,Thysanotus tenellus,Endl.,290275,Asparagaceae,exact,100,5304118,Thysanotus tenellus Endl.,Thysanotus tenellus,Endl.,SPECIES,ACCEPTED,EXACT,100,5304118,Thysanotus tenellus Endl.,Endl.,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Thysanotus,Thysanotus tenellus,5304118
inaturalist_eneabba|tsakalos_2018_applvegsci,False,Thysanotus teretifolius,Thysanotus teretifolius,Brittan,Species,Accepted,290268,Thysanotus teretifolius,Brittan,290268,Asparagaceae,exact,100,5304055,Thysanotus teretifolius Brittan,Thysanotus teretifolius,Brittan,SPECIES,ACCEPTED,EXACT,100,5304055,Thysanotus teretifolius Brittan,Brittan,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Thysanotus,Thysanotus teretifolius,5304055
tsakalos_2018_applvegsci,False,Thysanotus thyrsoideus,Thysanotus thyrsoideus,Baker,Species,Accepted,290278,Thysanotus thyrsoideus,Baker,290278,Asparagaceae,exact,100,5304081,Thysanotus thyrsoideus Baker,Thysanotus thyrsoideus,Baker,SPECIES,ACCEPTED,EXACT,100,5304081,Thysanotus thyrsoideus Baker,Baker,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Thysanotus,Thysanotus thyrsoideus,5304081
inaturalist_eneabba|tsakalos_2018_applvegsci,False,Thysanotus triandrus,Thysanotus triandrus,(Labill.) R.Br.,Species,Accepted,290279,Thysanotus triandrus,(Labill.) R.Br.,290279,Asparagaceae,exact,100,5304062,Thysanotus triandrus (Labill.) R.Br.,Thysanotus triandrus,(Labill.) R.Br.,SPECIES,ACCEPTED,EXACT,100,5304062,Thysanotus triandrus (Labill.) R.Br.,(Labill.) R.Br.,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Thysanotus,Thysanotus triandrus,5304062
dbca_2025_tpfl|tsakalos_2018_applvegsci,False,Thysanotus vernalis,Thysanotus vernalis,Brittan,Species,Accepted,290282,Thysanotus vernalis,Brittan,290282,Asparagaceae,exact,100,5304097,Thysanotus vernalis Brittan,Thysanotus vernalis,Brittan,SPECIES,ACCEPTED,EXACT,100,5304097,Thysanotus vernalis Brittan,Brittan,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Thysanotus,Thysanotus vernalis,5304097
dbca_2025_tpfl,False,Arnocrinum gracillimum,Arnocrinum gracillimum,Keighery,Species,Accepted,300050,Arnocrinum gracillimum,Keighery,300050,Asphodelaceae,exact,100,2770465,Arnocrinum gracillimum Keighery,Arnocrinum gracillimum,Keighery,SPECIES,ACCEPTED,EXACT,100,2770465,Arnocrinum gracillimum Keighery,Keighery,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Arnocrinum,Arnocrinum gracillimum,2770465
