type,label,value
species,Austrostipa macalpinei,4105291
species,Avellinia festucoides,4104665
species,Avena barbata,2705300
species,Briza maxima,2702792
species,Briza minor,2702793
species,Ehrharta calycina,2702865
species,Ehrharta longiflora,2702862
species,Festuca muralis,4120026
species,Neurachne alopecuroidea,7403104
species,Pentameris airoides,4146851
species,Rytidosperma caespitosum,4136604
species,Rytidosperma setaceum,4135683
species,Secale cereale,2705966
species,Comesperma acerosum,4049253
species,Comesperma calymega,7293259
species,Comesperma confertum,7293668
species,Comesperma drummondii,4052145
species,Comesperma griffinii,4052028
species,Comesperma integerrimum,4051972
species,Comesperma rhadinocarpum,4051617
species,Comesperma scoparium,7492920
species,Comesperma volubile,7293539
species,Muehlenbeckia adpressa,7291259
species,Lysimachia arvensis,8184903
species,Samolus repens,7290572
species,Adenanthos cygnorum,7287327
species,Adenanthos cygnorum subsp. cygnorum,3996919
species,Adenanthos drummondii,3996864
species,Banksia armata,7287057
species,Banksia attenuata,5636437
species,Banksia bipinnatifida subsp. multifida,5636402
species,Banksia candolleana,5636364
species,Banksia carlinoides,5636357
species,Banksia chamaephyton,5636346
species,Banksia cypholoba,5636273
species,Banksia dallanneyi,7286952
species,Banksia elegans,5638556
species,Banksia fraseri,7287722
species,Banksia fraseri var. crebra,5638482
species,Banksia glaucifolia,5638445
species,Banksia grossa,5638425
species,Banksia hookeriana,5638382
species,Banksia incana,7287659
species,Banksia kippistiana,7287622
species,Banksia kippistiana var. kippistiana,7287623
species,Banksia kippistiana var. paenepeccata,5638205
species,Banksia lanata,5638179
species,Banksia leptophylla,7287595
species,Banksia menziesii,5637974
species,Banksia micrantha,5637967
species,Banksia nana,5637910
species,Banksia nivea,7287514
species,Banksia nobilis subsp. fragrans,5637890
species,Banksia prionotes,5637616
species,Banksia scabrella,5637394
species,Banksia sclerophylla,5637381
species,Banksia sessilis,7287395
species,Banksia sessilis var. flabellifolia,5637310
species,Banksia shuttleworthiana,5637303
species,Banksia sphaerocarpa,7287376
species,Banksia sphaerocarpa var. pumilio,5637252
species,Banksia splendida subsp. macrocarpa,5637214
species,Banksia stenoprion,5637205
species,Banksia strictifolia,5637200
species,Banksia subulata,5637188
species,Banksia tortifolia,5637155
species,Banksia tricuspis,5637147
species,Banksia tridentata,5637140
species,Banksia vestita,5637106
species,Conospermum boreale,7287186
species,Conospermum crassinervium,3995630
species,Conospermum incurvum,3995271
species,Conospermum nervosum,7287035
species,Conospermum stoechadis,7286979
species,Conospermum triplinervium,7286951
species,Conospermum unilaterale,3994517
species,Conospermum wycherleyi,7286944
species,Grevillea althoferorum subsp. althoferorum,7287131
species,Grevillea amplexans,7287122
species,Grevillea argyrophylla,3995282
species,Grevillea biformis,7286983
species,Grevillea biformis subsp. cymbiformis,3994751
species,Grevillea commutata subsp. commutata,7287677
species,Grevillea erinacea,3998461
species,Grevillea eriostachya,7287491
species,Grevillea exposita,3998346
species,Grevillea leucopteris,3996482
species,Grevillea makinsonii,3996095
species,Grevillea pinaster,7286960
species,Grevillea polybotrya,3999969
species,Grevillea rudis,3999133
species,Grevillea shuttleworthiana,7287530
species,Grevillea shuttleworthiana subsp. canarina,3998675
species,Grevillea synapheae,7287467
species,Grevillea synapheae subsp. pachyphylla,3998155
species,Grevillea uniformis,3997625
species,Hakea anadenia,3996955
species,Hakea auriculata,7287319
species,Hakea candolleana,7287295
species,Hakea circumalata,3996471
species,Hakea conchifolia,3996421
species,Hakea costata,7287246
species,Hakea cygnus subsp. cygnus,10798307
species,Hakea eneabba,3995946
species,Hakea flabellifolia,3995750
species,Hakea gilbertii,3995614
species,Hakea incrassata,3995394
species,Hakea lissocarpha,3995017
species,Hakea megalosperma,3994753
species,Hakea neospathulata,7402308
species,Hakea obliqua subsp. parviflora,3994458
species,Hakea petiolaris,7287726
species,Hakea platysperma,3999674
species,Hakea polyanthema,3999649
species,Hakea prostrata,3999602
species,Hakea psilorrhyncha,3999586
species,Hakea smilacifolia,3999055
species,Hakea stenocarpa,3999013
species,Hakea trifurcata,7287520
species,Hakea varia,3998492
species,Isopogon adenanthoides,5636928
species,Isopogon asper,5636884
species,Isopogon divergens,5636765
species,Isopogon dubius,5636747
species,Isopogon inconspicuus,5636695
species,Isopogon linearis,5636670
species,Isopogon tridens,5636536
species,Lambertia multiflora,7287730
species,Lambertia multiflora var. multiflora,7287731
species,Persoonia acicularis,5637993
species,Persoonia chapmaniana,5637785
species,Persoonia filiformis,5637601
species,Persoonia rudis,5636861
species,Petrophile brevifolia,3995547
species,Petrophile chrysantha,3995514
species,Petrophile drummondii,3995341
species,Petrophile linearis,7287038
species,Petrophile macrostachya,3994985
species,Petrophile megalostegia,3994920
species,Petrophile nivea,3994876
species,Petrophile scabriuscula,3994653
species,Petrophile seminuda,7286965
species,Petrophile septemfida,8405860
species,Petrophile shuttleworthiana,3994574
species,Petrophile striata,3994552
species,Stirlingia latifolia,3995038
species,Strangea cynanchicarpa,3997780
species,Synaphea aephynsa,3994696
species,Synaphea endothrix,3994508
species,Synaphea oulopha,3999814
species,Synaphea sparsiflora,3999585
species,Synaphea spinulosa,7287686
species,Synaphea xela,3999469
species,Xylomelum angustifolium,3998912
species,Alexgeorgea nitens,8789077
species,Alexgeorgea subterranea,2706739
species,Anarthria polyphylla,2731695
species,Centrolepis aristata,5287484
species,Centrolepis milleri,9408897
species,Centrolepis mutica,5287508
species,Centrolepis pilosa,5287445
species,Centrolepis polygyna,5287446
species,Chordifex reseminans,2707159
species,Chordifex sinuosus,2707177
species,Desmocladus asper,2707844
species,Desmocladus elongatus,2707829
species,Desmocladus flexuosus,2707854
species,Desmocladus lateriflorus,9344056
species,Desmocladus lateriticus,2707851
species,Desmocladus parthenicus,2707831
species,Desmocladus semiplanus,2707827
species,Desmocladus virgatus,2707833
species,Hopkinsia anoectocolea,5293048
species,Lepidobolus chaetocephalus,2707454
species,Lepidobolus preissianus,2707451
species,Lepidobolus quadratus,9624525
species,Loxocarya striata,2706901
species,Lyginia imberbis,2731696
species,Cryptandra intermedia,3877269
species,Cryptandra myriantha,3876954
species,Cryptandra nutans,7273936
species,Cryptandra pungens,3876579
species,Cryptandra scoparia,7273895
species,Polianthion wichurae,3874457
species,Stenanthemum humile,3876727
species,Stenanthemum notiale,7273912
species,Galium murale,2914590
species,Opercularia spermacocea,5337410
species,Opercularia vaginata,5337437
species,Boronia cymosa,3831194
species,Boronia purdieana subsp. purdieana,3836051
species,Cyanothamnus coerulescens subsp. spicatus,10734151
species,Cyanothamnus coerulescens subsp. spinescens,10692722
species,Cyanothamnus ramosus subsp. anethifolius,10797551
species,Diplolaena angustifolia,3836063
species,Diplolaena eneabbensis,3835993
species,Diplolaena ferruginea,3835976
species,Geleznowia verrucosa,3833806
species,Philotheca spicata,3838061
species,Leptomeria empetriformis,7477912
species,Leptomeria rubescens,9671171
species,Santalum acuminatum,3789456
species,Dodonaea aptera,5577678
species,Dodonaea divaricata,5577487
species,Dodonaea ericoides,5577452
species,Dodonaea pinifolia,7264821
species,Eremophila glabra subsp. chlorella,7358093
species,Eremophila microtheca,7870729
species,Eremophila subangustifolia,10884142
species,Anthocercis ilicifolia,7300169
species,Levenhookia octomaculata,3658190
species,Levenhookia pusilla,3658804
species,Levenhookia stipitata,10939279
species,Stylidium adpressum,7334947
species,Stylidium aeonioides,5543833
species,Stylidium bicolor,5543578
species,Stylidium burbidgeanum,5543956
species,Stylidium calcaratum,7334958
species,Stylidium carnosum,5543837
species,Stylidium cornuatum,8282243
species,Stylidium crossocephalum,5543616
species,Stylidium cygnorum,5543599
species,Stylidium dichotomum,5543507
species,Stylidium diuroides subsp. paucifoliatum,5543948
species,Stylidium drummondianum,5543921
species,Stylidium flagellum,5543714
species,Stylidium inversiflorum,5543918
species,Stylidium kalbarriense,5543841
species,Stylidium maitlandianum,5543940
species,Stylidium miniatum,5543871
species,Stylidium nonscandens,5543758
species,Stylidium purpureum,12212974
species,Stylidium repens,7334923
species,Stylidium rigidulum,5543688
species,Stylidium scariosum,5543533
species,Stylidium stenosepalum,5543868
species,Stylidium tinkeri,5543650
species,Stylidium torticarpum,5543643
species,Stylobasium australe,8019741
species,Pimelea angustifolia,7577838
species,Pimelea floribunda,3568160
species,Pimelea imbricata,7311261
species,Pimelea leucantha,3570351
species,Pimelea suaveolens,7311359
species,Pimelea sulphurea,7311353
species,Pigea calycina,4074014
species,Pigea floribunda,7982537
genus,Acacia,2978223
genus,Acanthocarpus,2772855
genus,Actinobole,3130492
genus,Actinotus,3232355
genus,Adenanthos,10507962
genus,Aira,2702432
genus,Alexgeorgea,2706737
genus,Allocasuarina,2891821
genus,Ammothryon,11988043
genus,Amphipogon,3232826
genus,Amyema,7287853
genus,Anarthria,2707860
genus,Andersonia,6008646
genus,Androcalva,8192059
genus,Anigozanthos,2765832
genus,Anthobolus,7265268
genus,Anthocercis,7300146
genus,Apectospermum,3181696
genus,Arctotheca,3114963
genus,Aristida,2706249
genus,Arnocrinum,7492151
genus,Austrostipa,6430830
genus,Avellinia,6430793
genus,Avena,2705282
genus,Babingtonia,8280655
genus,Banksia,8399031
genus,Beyeria,3072173
genus,Blancoa,2765810
genus,Blennospora,3117079
genus,Boronia,3190408
genus,Borya,9103963
genus,Bossiaea,2968290
genus,Brachyscome,3144537
genus,Briza,2702788
genus,Burchardia,2740396
genus,Byblis,3233845
genus,Caladenia,2841100
genus,Caleana,2785336
genus,Calectasia,2763159
genus,Callitris,2684270
genus,Calytrix,3184820
genus,Carpobrotus,3084841
genus,Cassytha,3033998
genus,Caustis,2706744
genus,Centaurea,3127469
genus,Centrolepis,2692415
genus,Chamaescilla,2772830
genus,Chamelaucium,3188328
genus,Chenopodium,3083823
genus,Chordifex,2707137
genus,Coincya,3040581
genus,Comesperma,7293258
genus,Conospermum,7286943
genus,Conostephium,7288556
genus,Conostylis,2756006
genus,Corymbia,3180424
genus,Corynotheca,2674111
genus,Crassula,2985823
genus,Cristonia,7302108
genus,Cryptandra,7273603
genus,Cyanothamnus,7268947
genus,Dampiera,3232111
genus,Darwinia,3180277
genus,Dasypogon,2763173
genus,Daviesia,2860806
genus,Desmocladus,2707824
genus,Dianella,9435646
genus,Diplolaena,7269327
genus,Diuris,2833966
genus,Dodonaea,3190017
genus,Drakaea,2833950
genus,Drosera,3190721
genus,Ecdeiocolea,2693406
genus,Ehrharta,2702861
genus,Eremophila,3233433
genus,Ericomyrtus,3186965
genus,Eriochilus,2791964
genus,Eucalyptus,7493935
